id,bedrooms,bathrooms,floors,condition,grade
9900000190,3,1,1,3,6
9895000040,2,1.75,1.5,3,9
9842300540,3,1,1,4,7
9842300485,2,1,1,5,7
9842300095,5,2,1.5,3,7
9842300036,3,1,1,4,7
9839301165,2,1,1.5,4,8
9839301060,3,1.75,1.5,3,8
9839301055,3,1.5,1.5,4,7
9839300875,3,1,1.5,4,8
9839300775,4,2.25,2,3,7
9839300545,2,2,1.5,4,8
9839300285,3,2.5,2,4,7
9839300125,4,2,2,3,8
9835801000,3,2.25,1,3,8
9835800840,4,2,1,4,8
9835800750,3,2.25,1,4,8
9835800320,4,1.75,1,4,8
9834201470,2,1.5,2,3,7
9834201375,3,2.25,2,3,8
9834201370,3,2.25,2,3,8
9834201367,3,2,3,3,8
9834201366,3,2,3,3,8
9834201215,2,1,1,3,7
9834201205,1,1,1,3,6
9834201145,4,2.5,2,3,9
9834201100,4,2,2,4,7
9834200975,3,3,2,5,7
9834200950,4,1.75,1,4,7
9834200925,3,2.25,1.5,3,6
9834200885,4,2.5,1,5,7
9834200885,4,2.5,1,5,7
9834200555,4,3.5,2,3,8
9834200440,3,1.75,1,4,7
9834200411,3,1,1,4,6
9834200390,3,1.5,1.5,5,7
9834200365,3,2,1,5,7
9834200305,3,1,1.5,5,7
9834200305,3,1,1.5,5,7
9834200165,4,1.5,1.5,5,7
9834200030,3,1.5,1.5,3,8
9831200520,4,3,2.5,5,9
9831200500,5,3.75,2.5,3,13
9831200221,3,2.5,2,3,9
9831200186,2,2.5,3,3,9
9831200172,4,3.5,3,3,10
9831200159,3,3.25,2,3,12
9830200475,3,3.25,2,4,7
9830200380,3,3,3,3,10
9830200230,2,1.75,2,4,7
9829201058,3,2.5,2,3,10
9829201020,3,1.25,3,3,11
9829200855,3,2.25,1.5,4,9
9829200590,3,2.75,1.5,5,8
9829200580,3,2.75,2,5,9
9829200566,3,3,2,3,10
9829200495,4,2.5,2,4,8
9829200325,3,2,2,4,8
9829200250,3,2,2,3,10
9828702902,2,2.25,2,3,8
9828702895,4,1.75,1.5,3,7
9828702890,5,1.5,1.5,4,8
9828702851,3,2.5,2,3,9
9828702812,4,3,3,3,8
9828702771,2,1.5,2,3,8
9828702667,3,2.25,2,3,7
9828702666,4,2.25,2,3,7
9828702649,3,2.5,2,3,8
9828702588,3,2.5,3,3,9
9828702519,2,2.5,2,3,8
9828702518,2,2.25,2,3,8
9828702513,2,2.25,2,3,8
9828702389,3,2.5,2,3,8
9828702339,2,2,2,3,8
9828702336,2,2,2,3,8
9828702335,2,2,2,3,8
9828702310,2,1.5,2,3,9
9828702266,3,2.5,3,3,8
9828702265,3,2.5,3,3,8
9828702262,3,2.25,2,3,8
9828702251,3,2.5,3,3,8
9828702245,3,2.5,2,3,8
9828702156,3,3.25,2.5,3,9
9828702120,4,1,1.5,3,7
9828702095,1,1,1,3,7
9828702055,2,1.5,2,3,7
9828701871,3,2,2,3,8
9828701747,3,1,1,3,6
9828701745,2,1,1,2,6
9828701741,2,2.75,2,3,7
9828701739,2,2.75,2,3,7
9828701690,3,2,1,3,7
9828701650,2,1,1,3,6
9828701608,3,2.5,2,3,8
9828701605,3,2.5,2,3,8
9828701565,3,2,1,3,7
9828701508,3,2.25,3,3,8
9828701507,3,2.25,3,3,8
9828701488,2,1,2,3,8
9828701295,2,1,1,3,6
9828701085,3,1.75,1,3,7
9828700900,2,1,1,5,7
9828700685,3,1.75,1.5,3,7
9828700235,3,1,1.5,5,7
9828700200,4,3,2,4,9
9828700005,3,1,1,3,7
9828202545,3,1.5,1.5,4,8
9828202325,2,1,1,3,6
9828202255,4,2.75,1,5,8
9828202215,4,3,1,5,7
9828202030,4,2,1,3,7
9828201920,3,1,1,3,7
9828201885,3,2.5,2,3,9
9828201745,2,1.5,1.5,3,7
9828201725,4,1,1.5,3,7
9828201361,2,1.5,2,3,7
9828201202,3,1.5,1.5,4,8
9828201020,3,1,1.5,3,7
9828200790,4,2,2,3,7
9828200762,2,1,1,3,7
9828200746,2,1.5,2,3,8
9828200605,4,2,1.5,4,7
9828200545,3,1.75,1,5,7
9828200525,1,1,1,3,6
9828200460,2,1,1,3,7
9828200460,2,1,1,3,7
9828200187,2,1,1,3,7
9828200147,3,2,2,3,8
9827700105,3,2,1.5,4,7
9826701794,3,3,2,3,8
9826701765,3,1,1,3,6
9826701735,3,2,2,4,7
9826701665,3,2.5,1.5,3,7
9826701490,5,2,2,3,6
9826701345,3,2.5,2,4,7
9826701320,4,1.75,2,3,7
9826701201,2,1.5,2,3,8
9826700930,2,2,3,3,8
9826700726,3,2.5,3,3,8
9826700707,3,2.5,3,3,8
9826700697,3,2,2,3,9
9822700295,4,2.5,2,3,9
9822700285,4,1.5,1.5,3,7
9822700255,3,2.5,3,3,9
9822700190,9,4.5,2,3,8
9818700645,3,1.75,1,3,7
9818700455,4,2.5,1.5,5,8
9818700430,3,1.5,1,5,7
9818700320,3,2,1,3,7
9818700215,5,2,1.5,3,6
9809000020,5,2.25,2,4,9
9809000020,5,2.25,2,4,9
9809000010,5,2.5,2,4,9
9808700762,5,4.5,2,3,11
9808700650,3,2.25,2,4,8
9808700405,3,2.5,2,3,10
9808700370,3,1,2,4,8
9808700025,3,1.5,1,1,8
9808650060,3,2,1,4,8
9808640320,4,3.5,2,3,9
9808640090,3,2.5,2,3,9
9808640040,3,2.5,2,4,9
9808630260,3,2.5,2,4,9
9808630210,3,2.5,2,3,9
9808630120,3,2.5,2,4,9
9808610410,4,2.5,2,3,9
9808610190,4,2.5,2,3,10
9808590460,4,2.25,2,3,10
9808590310,3,2.75,2,3,10
9808590210,4,2.5,1,3,10
